Titulo,Autor,Paginas,Generos
Libro_1,Autor_1,48,religión educación juegos ciencia relatos viajes 
Libro_2,Autor_2,183,gastronomía marketing 
Libro_3,Autor_3,32,ficción poesía thriller cine servicios periodismo viajes historia 
Libro_4,Autor_4,34,gastronomía cultura terror economía viajes poesía humor ficción 
Libro_5,Autor_5,298,ciencia terror filosofía política deportes ficción leyendas 
Libro_6,Autor_6,379,infantil negocios marketing cine gastronomía juegos tecnología 
Libro_7,Autor_7,251,periodismo negocios leyendas cine 
Libro_8,Autor_8,275,humor investigación negocios 
Libro_9,Autor_9,70,tecnología negocios 
Libro_10,Autor_10,332,ensayo periodismo música investigación leyendas deportes negocios 
Libro_11,Autor_11,257,política ficción cine periodismo novela investigación ensayo 
Libro_12,Autor_12,289,filosofía periodismo thriller música ensayo leyendas deportes fotografía ficción 
Libro_13,Autor_13,362,servicios cultura poesía 
Libro_14,Autor_14,230,relatos biografía 
Libro_15,Autor_15,499,poesía terror ciencia música 
Libro_16,Autor_16,85,psicología fantasía moda servicios periodismo política arte ficción drama 
Libro_17,Autor_17,176,arte humor historia ensayo 
Libro_18,Autor_18,294,economía relatos investigación leyendas ensayo historia 
Libro_19,Autor_19,163,terror marketing periodismo negocios arte fantasía política 
Libro_20,Autor_20,69,poesía gastronomía investigación biografía ficción economía fotografía ciencia 
Libro_21,Autor_21,130,psicología gastronomía ciencia periodismo humor servicios relatos infantil thriller 
Libro_22,Autor_22,467,leyendas romance terror política poesía biografía deportes negocios 
Libro_23,Autor_23,395,psicología historia periodismo filosofía romance 
Libro_24,Autor_24,85,historia informática poesía psicología 
Libro_25,Autor_25,62,religión gastronomía ciencia informática deportes relatos policial leyendas 
Libro_26,Autor_26,289,moda gastronomía psicología ensayo fotografía terror educación marketing thriller 
Libro_27,Autor_27,54,moda biografía humor fotografía periodismo leyendas ensayo thriller 
Libro_28,Autor_28,204,ensayo biografía servicios 
Libro_29,Autor_29,202,música terror policial viajes 
Libro_30,Autor_30,246,arte deportes marketing informática 
Libro_31,Autor_31,291,periodismo negocios arte 
Libro_32,Autor_32,260,terror investigación thriller política 
Libro_33,Autor_33,13,policial fantasía thriller romance negocios terror 
Libro_34,Autor_34,253,educación economía religión política novela 
Libro_35,Autor_35,490,religión psicología terror fantasía 
Libro_36,Autor_36,139,política infantil viajes gastronomía poesía educación novela humor fotografía 
Libro_37,Autor_37,180,viajes educación biografía fantasía poesía negocios tecnología periodismo moda 
Libro_38,Autor_38,77,gastronomía religión leyendas relatos historia infantil terror 
Libro_39,Autor_39,192,drama policial servicios periodismo poesía religión leyendas 
Libro_40,Autor_40,169,psicología biografía policial poesía investigación infantil 
Libro_41,Autor_41,69,periodismo psicología economía música cultura informática 
Libro_42,Autor_42,252,ficción periodismo cine 
Libro_43,Autor_43,5,thriller terror 
Libro_44,Autor_44,385,drama religión deportes 
Libro_45,Autor_45,129,historia relatos ciencia 
Libro_46,Autor_46,13,relatos religión ciencia deportes 
Libro_47,Autor_47,307,juegos política educación periodismo 
Libro_48,Autor_48,291,fantasía humor poesía 
Libro_49,Autor_49,131,investigación política música periodismo romance 
Libro_50,Autor_50,62,tecnología arte terror informática biografía 
Libro_51,Autor_51,283,poesía policial política arte música historia 
Libro_52,Autor_52,278,música arte fotografía tecnología educación fantasía 
Libro_53,Autor_53,145,servicios cultura religión marketing drama 
Libro_54,Autor_54,122,infantil gastronomía política periodismo informática deportes tecnología biografía historia 
Libro_55,Autor_55,183,leyendas política poesía deportes terror 
Libro_56,Autor_56,13,fotografía poesía cultura 
Libro_57,Autor_57,443,filosofía novela terror fantasía deportes 
Libro_58,Autor_58,490,arte historia romance deportes infantil gastronomía juegos 
Libro_59,Autor_59,329,arte investigación poesía 
Libro_60,Autor_60,304,ensayo moda tecnología 
Libro_61,Autor_61,396,viajes relatos ensayo poesía cine thriller gastronomía 
Libro_62,Autor_62,436,cine deportes economía moda religión 
Libro_63,Autor_63,51,relatos romance marketing fotografía ficción psicología 
Libro_64,Autor_64,395,fantasía drama infantil cine leyendas gastronomía política 
Libro_65,Autor_65,401,historia música servicios deportes ficción 
Libro_66,Autor_66,190,filosofía arte drama música cultura viajes educación poesía tecnología 
Libro_67,Autor_67,291,ensayo policial historia leyendas 
Libro_68,Autor_68,349,terror historia ficción romance biografía 
Libro_69,Autor_69,43,cultura humor novela fotografía religión 
Libro_70,Autor_70,187,educación música cultura viajes 
Libro_71,Autor_71,387,drama periodismo romance 
Libro_72,Autor_72,171,servicios arte juegos leyendas religión cine periodismo cultura 
Libro_73,Autor_73,186,psicología filosofía tecnología fantasía poesía policial servicios arte terror 
Libro_74,Autor_74,233,poesía moda 
Libro_75,Autor_75,44,juegos economía moda ensayo 
Libro_76,Autor_76,336,ficción relatos deportes arte negocios thriller gastronomía drama moda 
Libro_77,Autor_77,26,psicología fantasía humor viajes biografía 
Libro_78,Autor_78,387,psicología arte economía 
Libro_79,Autor_79,445,gastronomía filosofía arte thriller 
Libro_80,Autor_80,162,juegos relatos tecnología 
Libro_81,Autor_81,401,psicología juegos religión informática 
Libro_82,Autor_82,68,deportes política drama periodismo ficción tecnología 
Libro_83,Autor_83,446,religión viajes 
Libro_84,Autor_84,64,poesía drama marketing periodismo 
